F,S11,S21,S31,S41,S12,S22,S32,S42,S13,S23,S33,S43,S14,S24,S34,S44,S11',S21',S31',S41',S12',S22',S32',S42',S13',S23',S33',S43',S14',S24',S34',S44'
16.539999,-31.573366,-0.050669167,-34.777624,-41.304283,-0.050667016,-31.586413,-41.304274,-34.775882,-34.777625,-41.304285,-31.573368,-0.05066916,-41.304272,-34.775882,-0.050667016,-31.586413,-31.573366,-0.050669167,-34.777624,-41.304283,-0.050667016,-31.586413,-41.304274,-34.775882,-34.777625,-41.304285,-31.573368,-0.05066916,-41.304272,-34.775882,-0.050667016,-31.586413
16.559999,-31.563854,-0.05074547,-34.767391,-41.294211,-0.050743843,-31.576917,-41.294202,-34.765646,-34.767392,-41.294213,-31.563854,-0.050745462,-41.2942,-34.765647,-0.050743843,-31.576918,-31.563854,-0.05074547,-34.767391,-41.294211,-0.050743843,-31.576917,-41.294202,-34.765646,-34.767392,-41.294213,-31.563854,-0.050745462,-41.2942,-34.765647,-0.050743843,-31.576918
16.58,-31.554365,-0.050823223,-34.757172,-41.284157,-0.050821596,-31.567446,-41.284148,-34.755425,-34.757173,-41.284159,-31.554366,-0.050823223,-41.284146,-34.755426,-0.050821596,-31.567447,-31.554365,-0.050823223,-34.757172,-41.284157,-0.050821596,-31.567446,-41.284148,-34.755425,-34.757173,-41.284159,-31.554366,-0.050823223,-41.284146,-34.755426,-0.050821596,-31.567447
16.6,-31.5449,-0.050899849,-34.746969,-41.274119,-0.050898222,-31.557999,-41.27411,-34.745219,-34.74697,-41.274121,-31.544902,-0.050899834,-41.274109,-34.74522,-0.050898222,-31.558,-31.5449,-0.050899849,-34.746969,-41.274119,-0.050898222,-31.557999,-41.27411,-34.745219,-34.74697,-41.274121,-31.544902,-0.050899834,-41.274109,-34.74522,-0.050898222,-31.558
16.619999,-31.535461,-0.050977394,-34.73678,-41.264098,-0.050975249,-31.548576,-41.264088,-34.735028,-34.73678,-41.2641,-31.535461,-0.050977386,-41.264087,-34.735028,-0.050975249,-31.548578,-31.535461,-0.050977394,-34.73678,-41.264098,-0.050975249,-31.548576,-41.264088,-34.735028,-34.73678,-41.2641,-31.535461,-0.050977386,-41.264087,-34.735028,-0.050975249,-31.548578
16.639999,-31.526044,-0.051054306,-34.726605,-41.254093,-0.051053203,-31.539179,-41.254083,-34.724851,-34.726606,-41.254095,-31.526046,-0.051054815,-41.254082,-34.724852,-0.051053203,-31.53918,-31.526044,-0.051054306,-34.726605,-41.254093,-0.051053203,-31.539179,-41.254083,-34.724851,-34.726606,-41.254095,-31.526046,-0.051054815,-41.254082,-34.724852,-0.051053203,-31.53918
16.66,-31.516653,-0.051132152,-34.716446,-41.244106,-0.051130007,-31.529804,-41.244095,-34.714689,-34.716447,-41.244108,-31.516654,-0.051132152,-41.244094,-34.714689,-0.051130532,-31.529806,-31.516653,-0.051132152,-34.716446,-41.244106,-0.051130007,-31.529804,-41.244095,-34.714689,-34.716447,-41.244108,-31.516654,-0.051132152,-41.244094,-34.714689,-0.051130532,-31.529806
16.679998,-31.507287,-0.051209784,-34.7063,-41.234134,-0.051207654,-31.520455,-41.234123,-34.704542,-34.706301,-41.234136,-31.507287,-0.051209784,-41.234122,-34.704541,-0.051208179,-31.520456,-31.507287,-0.051209784,-34.7063,-41.234134,-0.051207654,-31.520455,-41.234123,-34.704542,-34.706301,-41.234136,-31.507287,-0.051209784,-41.234122,-34.704541,-0.051208179,-31.520456
16.699999,-31.497944,-0.0512873,-34.69617,-41.224179,-0.051285643,-31.51113,-41.22417,-34.694409,-34.696171,-41.224181,-31.497944,-0.051287271,-41.224169,-34.69441,-0.051285643,-31.511132,-31.497944,-0.0512873,-34.69617,-41.224179,-0.051285643,-31.51113,-41.22417,-34.694409,-34.696171,-41.224181,-31.497944,-0.051287271,-41.224169,-34.69441,-0.051285643,-31.511132
16.719999,-31.488625,-0.051365669,-34.686054,-41.214242,-0.051363517,-31.501829,-41.214232,-34.684291,-34.686055,-41.214244,-31.488626,-0.051365669,-41.214231,-34.684291,-0.051363517,-31.501831,-31.488625,-0.051365669,-34.686054,-41.214242,-0.051363517,-31.501829,-41.214232,-34.684291,-34.686055,-41.214244,-31.488626,-0.051365669,-41.214231,-34.684291,-0.051363517,-31.501831
16.74,-31.479331,-0.051442842,-34.675952,-41.20432,-0.051441222,-31.492554,-41.20431,-34.674187,-34.675953,-41.204322,-31.479333,-0.051442842,-41.204309,-34.674188,-0.051441222,-31.492556,-31.479331,-0.051442842,-34.675952,-41.20432,-0.051441222,-31.492554,-41.20431,-34.674187,-34.675953,-41.204322,-31.479333,-0.051442842,-41.204309,-34.674188,-0.051441222,-31.492556
16.76,-31.470063,-0.051520921,-34.665866,-41.194416,-0.051518768,-31.483303,-41.194405,-34.664098,-34.665866,-41.194418,-31.470063,-0.051520921,-41.194405,-34.664098,-0.051518768,-31.483305,-31.470063,-0.051520921,-34.665866,-41.194416,-0.051518768,-31.483303,-41.194405,-34.664098,-34.665866,-41.194418,-31.470063,-0.051520921,-41.194405,-34.664098,-0.051518768,-31.483305
16.780001,-31.460818,-0.051599357,-34.655793,-41.184527,-0.051597188,-31.474077,-41.184517,-34.654022,-34.655794,-41.184529,-31.460819,-0.051599357,-41.184516,-34.654023,-0.051597188,-31.474079,-31.460818,-0.051599357,-34.655793,-41.184527,-0.051597188,-31.474077,-41.184517,-34.654022,-34.655794,-41.184529,-31.460819,-0.051599357,-41.184516,-34.654023,-0.051597188,-31.474079
